#,id,name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,
60,0bMphSZmNIhbUZ6VAuNXBR,Dentro De Mi Corazón,Luis Fonsi,19,0.553,0.538,3,-8.799,1,0.034,0.63,7.61E-06,0.0718,0.325,129.924,262640,4,
61,57u7pdir79V9NjkZKvqtmZ,Sería Fácil,Luis Fonsi,19,0.448,0.193,0,-12.574,1,0.0414,0.925,0.00E+00,0.107,0.119,80.63,229960,5,
62,4hY2qvPS9gJFokULpxqRbW,Moonwalkers (feat. DubXX),Machine Gun Kelly;DubXX,39,0.754,0.556,1,-8.075,1,0.306,0.00155,3.59E-05,0.0864,0.142,143.937,185520,4,
63,4IlBZXHTwY7DoxA4piiHtM,Zara (feat. Abir),Macklemore;Abir,58,0.773,0.413,6,-9.324,0,0.0673,0.0345,0,0.09,0.215,115.869,217280,4,
64,3UqDEA89Ei9GHI19qHkhVj,Knocking on Your Heart,Maggie Lindemann,58,0.469,0.729,2,-7.159,0,0.0866,0.107,0.0105,0.0884,0.357,149.67,220800,4,
65,72ez6rKQgEB4asThITDH4I,Powerful,Major Lazer;Ellie Goulding;Tarrus Riley,1,0.598,0.792,11,-4.043,0,0.0478,0.121,0,0.158,0.732,97.479,206327,3,
66,1Qo5xjflE8O4qz38ju3oSm,Vuelo Hacia el Olvido,Maluma,54,0.396,0.351,11,-10.688,1,0.0494,0.888,1.15E-05,0.313,0.475,81.661,210893,4,
67,3bGo77IyOi5w0D2Z1mD4Wm,Daylight - Live In Manchester,Maroon 5,51,0.423,0.709,2,-4.761,1,0.0387,0.0155,1.58E-05,0.919,0.279,116.008,416400,4,
68,5m4OvvkjW8rp1zot66TodB,Maps - Live In Manchester,Maroon 5,51,0.694,0.803,8,-5.515,1,0.0396,0.13,4.40E-06,0.405,0.479,119.983,262533,4,
69,05KizhJc5qATFI2D7SauJ5,Bounce,Marshmello,61,0.593,0.979,8,-4.151,0,0.0634,0.0119,0.897,0.175,0.0992,140.038,212571,4,
70,70u21FlFuynM9wnHBxjMxC,In the Name of Love,Martin Garrix;Bebe Rexha,0,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,195707,4,
71,3G94lNH9BlS5a2WpfwJ1E6,Make up Your Mind,Martin Garrix;Florian Picasso,55,0.688,0.887,7,-3.68,1,0.158,0.000816,0.778,0.276,0.0399,126.029,196295,4,
72,5L1tWSzpILo1JRhMeR5UZ6,Welcome,Martin Garrix;Julian Jordan,53,0.689,0.962,1,-6.555,0,0.136,0.00216,0.411,0.123,0.0422,117.988,185095,4,
73,6L5oimyAoXuIb1GL10Oloh,Night After Night - Radio Edit,Martin Jensen,67,0.664,0.972,4,-5.273,0,0.0719,0.000497,0.694,0.319,0.402,128.019,158040,4,
74,3BoPOp7YNORLqMUjE5XAh9,Big On Big,Migos,60,0.723,0.768,0,-5.469,0,0.0587,0.145,0,0.172,0.526,142.022,290794,4,
75,7llPsildzxzgt6odtSaScQ,Love Someone,Miley Cyrus,56,0.678,0.845,8,-3.636,0,0.0329,0.00496,1.29E-05,0.0572,0.826,99.078,199493,4,
76,3ul8YWNcs8z5cmudWmg0hA,Fire Away,Niall Horan,58,0.595,0.484,6,-11.286,1,0.032,0.261,0.000477,0.099,0.25,139.814,206362,4,
77,2ib3KF1gEoozEvAYGo1noL,Tu Cuerpo Me Ama,Nicky Jam;Minek,48,0.691,0.792,7,-5.66,1,0.0409,0.148,8.68E-06,0.151,0.8,175.947,200227,4,
78,5BoOzegGrg5XFRR8UBDtkF,Broken Whiskey Glass,Post Malone,70,0.514,0.673,2,-7.291,0,0.0504,0.316,1.62E-06,0.13,0.118,99.934,233813,4,
79,3tjl6YMFoAk6927XjAM0Er,Cold,Post Malone,63,0.654,0.564,4,-7.763,0,0.0403,0.609,6.37E-06,0.103,0.267,132.983,268933,4,
80,08peGCGwTVXc1WT2UNdVs5,Your Song - Acoustic,Rita Ora,59,0.846,0.559,6,-4.306,1,0.0644,0.109,0,0.0445,0.721,114.037,181907,4,
